RunAccession	Mate	Status	SHA256
ERR9765746	R1	PASS	8a26ae83abb5bb6ab8c8d30f9fcbfb43c2e04fd7b333eb11c6a40ef6e85c8c2f
ERR9765746	R2	PASS	7834df2021f96259061bdfcff9a7e7549950ec2509cd2e0730e5c07d17ecfd48
ERR9765780	NA	PASS	fba6ae446bbd0436ed000d28059f982cde0c508aa6c4dd02f28730e40fcf2916
ERR9765783	NA	PASS	0edd53596da282cf947073cf8e4bdd6d980d6b9dd0811af2065d58dfa0624cd6
